step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
157,1,1.650296,,2.845565e-03,987914.8,4.876
158,1,1.677040,,2.842966e-03,984204.2,4.876
159,1,1.656223,,2.840347e-03,981235.5,4.876
160,1,1.606329,,2.837708e-03,984951.9,4.876
161,1,1.653892,,2.835049e-03,985957.0,4.876
162,1,1.682964,,2.832369e-03,987921.9,4.876
163,1,1.597654,,2.829669e-03,989004.2,4.876
164,1,1.677392,,2.826949e-03,988581.0,4.876
165,1,1.628654,,2.824209e-03,989752.1,4.876
166,1,1.667505,,2.821450e-03,987707.1,4.876
167,1,1.629681,,2.818670e-03,987913.0,4.876
168,1,1.665340,,2.815870e-03,982243.5,4.876
169,1,1.674692,,2.813050e-03,988888.6,4.876
170,1,1.608004,,2.810211e-03,982975.9,4.876
171,1,1.592211,,2.807351e-03,982420.8,4.876
172,1,1.647723,,2.804472e-03,990174.6,4.876
173,1,1.618072,,2.801574e-03,991226.1,4.876
174,1,1.663268,,2.798655e-03,988026.7,4.876
175,1,1.610851,,2.795717e-03,987318.7,4.876
176,1,1.602058,,2.792760e-03,988504.5,4.876
177,1,1.609462,,2.789783e-03,981822.5,4.876
178,1,1.693648,,2.786787e-03,988581.0,4.876
179,1,1.614070,,2.783771e-03,986367.4,4.876
180,1,1.659681,,2.780736e-03,989016.7,4.876
181,1,1.620220,,2.777682e-03,988371.3,4.876
182,1,1.570547,,2.774608e-03,988154.5,4.876
183,1,1.610183,,2.771515e-03,991124.3,4.876
184,1,1.594587,,2.768404e-03,989689.7,4.876
185,1,1.569751,,2.765273e-03,982977.7,4.876
186,1,1.588467,,2.762123e-03,983510.5,4.876
187,1,1.606098,,2.758954e-03,988803.2,4.876
188,1,1.621936,,2.755766e-03,989185.8,4.876
189,1,1.591938,,2.752560e-03,989274.8,4.876
190,1,1.660925,,2.749335e-03,988737.4,4.876
191,1,1.579534,,2.746090e-03,986370.9,4.876
192,1,1.638726,,2.742828e-03,989746.7,4.876
193,1,1.571470,,2.739546e-03,989664.8,4.876
194,1,1.638003,,2.736246e-03,988910.0,4.876
195,1,1.522654,,2.732928e-03,986464.7,4.876
196,1,1.597688,,2.729591e-03,982399.8,4.876
197,1,1.586786,,2.726236e-03,990952.8,4.876
198,1,1.606222,,2.722862e-03,992577.3,4.876
199,1,1.471363,,2.719470e-03,991149.3,4.876
200,1,1.612477,1.567684,2.716060e-03,988849.5,4.876
201,1,1.484370,,2.712632e-03,987700.0,4.876
202,1,1.615910,,2.709185e-03,987842.0,4.876
203,1,1.595356,,2.705721e-03,985327.9,4.876
204,1,1.589408,,2.702238e-03,987157.3,4.876
205,1,1.519310,,2.698738e-03,986486.0,4.876
206,1,1.566396,,2.695219e-03,987879.3,4.876
207,1,1.562549,,2.691683e-03,987409.1,4.876
208,1,1.487354,,2.688129e-03,990699.2,4.876
209,1,1.502976,,2.684558e-03,992077.6,4.876
210,1,1.513403,,2.680969e-03,985778.4,4.876
211,1,1.524838,,2.677362e-03,987031.5,4.876
212,1,1.503359,,2.673738e-03,987879.3,4.876
213,1,1.582441,,2.670096e-03,986452.4,4.876
214,1,1.481744,,2.666437e-03,991204.7,4.876
215,1,1.577964,,2.662761e-03,985469.2,4.876
216,1,1.532169,,2.659067e-03,987051.0,4.876
217,1,1.523450,,2.655356e-03,986486.0,4.876
218,1,1.531729,,2.651628e-03,989144.8,4.876
219,1,1.483439,,2.647883e-03,988216.7,4.876
220,1,1.464358,,2.644121e-03,985713.0,4.876
221,1,1.512781,,2.640342e-03,986027.7,4.876
222,1,1.394773,,2.636546e-03,991374.5,4.876
223,1,1.451873,,2.632733e-03,989239.2,4.876
224,1,1.520703,,2.628904e-03,988081.7,4.876
225,1,1.480687,,2.625058e-03,986277.1,4.876
226,1,1.465224,,2.621195e-03,986425.8,4.876
227,1,1.459456,,2.617315e-03,989871.5,4.876
228,1,1.483253,,2.613420e-03,987918.3,4.876
229,1,1.461004,,2.609507e-03,988529.4,4.876
230,1,1.480956,,2.605579e-03,992812.1,4.876
231,1,1.439917,,2.601634e-03,990936.7,4.876
232,1,1.396623,,2.597673e-03,984169.0,4.876
233,1,1.422430,,2.593696e-03,987430.4,4.876
234,1,1.488332,,2.589702e-03,989488.4,4.876
235,1,1.434500,,2.585693e-03,991959.4,4.876
236,1,1.413944,,2.581668e-03,987653.9,4.876
237,1,1.379550,,2.577627e-03,984895.4,4.876
238,1,1.407899,,2.573570e-03,983338.1,4.876
239,1,1.402751,,2.569497e-03,987682.3,4.876
240,1,1.368479,,2.565409e-03,988163.4,4.876
241,1,1.365235,,2.561305e-03,986393.9,4.876
242,1,1.337671,,2.557185e-03,986581.6,4.876
243,1,1.410110,,2.553050e-03,986114.4,4.876
244,1,1.452726,,2.548900e-03,989677.2,4.876
245,1,1.365980,,2.544734e-03,988554.3,4.876
246,1,1.329133,,2.540553e-03,987913.0,4.876
247,1,1.374545,,2.536357e-03,982589.4,4.876
248,1,1.368720,,2.532146e-03,986829.5,4.876
249,1,1.375509,,2.527920e-03,991215.4,4.876
250,1,1.365712,1.409271,2.523679e-03,987373.6,4.876
251,1,1.427932,,2.519422e-03,982276.9,4.876
252,1,1.377169,,2.515152e-03,982756.3,4.876
253,1,1.332914,,2.510866e-03,987084.7,4.876
254,1,1.364965,,2.506566e-03,984849.5,4.876
255,1,1.314847,,2.502251e-03,985757.2,4.876
256,1,1.394039,,2.497921e-03,988426.3,4.876
257,1,1.422938,,2.493577e-03,985709.5,4.876
258,1,1.360328,,2.489219e-03,989928.5,4.876
259,1,1.364728,,2.484846e-03,992263.8,4.876
260,1,1.354151,,2.480460e-03,986425.8,4.876
261,1,1.351043,,2.476059e-03,989736.0,4.876
262,1,1.318459,,2.471644e-03,980764.6,4.876
263,1,1.359948,,2.467215e-03,982984.7,4.876
264,1,1.329833,,2.462772e-03,981966.3,4.876
265,1,1.266527,,2.458315e-03,984812.5,4.876
266,1,1.378640,,2.453844e-03,990545.7,4.876
267,1,1.346865,,2.449360e-03,987261.9,4.876
268,1,1.417266,,2.444862e-03,986326.7,4.876
269,1,1.344791,,2.440351e-03,987874.0,4.876
270,1,1.373587,,2.435826e-03,987701.8,4.876
271,1,1.386673,,2.431287e-03,990947.4,4.876
272,1,1.337726,,2.426736e-03,986355.0,4.876
273,1,1.371085,,2.422171e-03,986864.9,4.876
274,1,1.266335,,2.417593e-03,986999.6,4.876
275,1,1.350622,,2.413002e-03,984273.0,4.876
276,1,1.299885,,2.408398e-03,988151.0,4.876
277,1,1.287033,,2.403781e-03,987293.8,4.876
278,1,1.316744,,2.399151e-03,988310.8,4.876
